,sentence,nmb_sent,author,title,nmb_text
5,"Мой  друг,  Лешка,  побегав  по  ВУЗам,  предложил  мне все же подавать документы, так как их везде берут и  не  отказывают.",6,Евгений Кукаркин,Эксперимент,123
6,"Мы  решили,  пойдем  в Кораблестроительный институт и сдали туда документы.",7,Евгений Кукаркин,Эксперимент,123
7,"Ехидный старичок, математик, положил свою тощую ручонку на разбросанные по столу билеты.",8,Евгений Кукаркин,Эксперимент,123
0,"        В  детективном романе ""Злым ветром"" действуют хорошо известные читателю герои:  инспектора  уголовного розыска  Виталий  Лосев  и  Игорь  Откаленко.",1,Аркадий Григорьевич Адамов,Злым ветром,13
1,"Исчезновение  потерпевшего,   которого  обокрал   ловкий   гостиничный  вор, заставляет героев романа скрупулезно проанализировать обстоятельства кражи и личность   потерпевшего,   оказавшегося  в   финале   расследования  крупным аферистом.",2,Аркадий Григорьевич Адамов,Злым ветром,13
2,"Роман  ""Злым ветром"" удостоен премии Всесоюзного литературного конкурса Министерства внутренних дел СССР,  Союза писателей СССР и Госкомиздата СССР, посвященного 60-летию советской милиции в 1977 году.",3,Аркадий Григорьевич Адамов,Злым ветром,13
3,"Трилогия  ""Инспектор  Лосев""  награждена Золотой  медалью  имени  Героя Советского Союза Н.Кузнецова за  лучшее героико-приключенческое произведение 1981 года, учрежденной СП РСФСР и ПО Уралмашзавод.",4,Аркадий Григорьевич Адамов,Злым ветром,13
4,Оглавление       Часть I.,5,Аркадий Григорьевич Адамов,Злым ветром,13
5,"""ГАСТРОЛЕР""       Глава I. Самая банальная завязка      Глава II.",6,Аркадий Григорьевич Адамов,Злым ветром,13
0,"        Роман ""Петля"" удостоен премии Всесоюзного конкурса Союза писателей СССР и Министерства внутренних дел СССР за 1975 год на лучшую книгу о милиции.",1,Аркадий Григорьевич Адамов,Петля,14
1,"Трилогия  ""Инспектор  Лосев""  награждена Золотой  медалью  имени  Героя Советского Союза Н.Кузнецова за  лучшее героико-приключенческое произведение 1981 года, учрежденной СП РСФСР и ПО Уралмашзавод.",2,Аркадий Григорьевич Адамов,Петля,14
2,Оглавление       Глава I. Туман      Глава II.,3,Аркадий Григорьевич Адамов,Петля,14
3,"""Накопление тумана""      Глава III.",4,Аркадий Григорьевич Адамов,Петля,14
4,"Самые разные встречи, в том числе и опасные      Глава IV.",5,Аркадий Григорьевич Адамов,Петля,14
5,Люди из двух разных версий      Глава V. Наши необычные похороны      Глава VI.,6,Аркадий Григорьевич Адамов,Петля,14
6,Болевая точка души      Глава VII.,7,Аркадий Григорьевич Адамов,Петля,14
7,Курортная жизнь      Глава VIII.,8,Аркадий Григорьевич Адамов,Петля,14
8,Еще одна тень      Глава IX.,9,Аркадий Григорьевич Адамов,Петля,14
9,"В гостях у тени      Глава X. В тот страшный вечер...                                     Глава I                                   ТУМАН       Я  иногда  думаю,  сколько  человеческая голова  способна вместить дел, забот,  неприятностей, неожиданностей и даже радостей?",10,Аркадий Григорьевич Адамов,Петля,14
0,"        Роман  ""На  свободное место""  удостоен премии Всесоюзного литературного конкурса Союза писателей СССР и  Министерства внутренних дел за  1982 год на лучшую книгу о советской милиции.",1,Аркадий Григорьевич Адамов,На свободное место,15
1,"Трилогия  ""Инспектор  Лосев""  награждена Золотой  медалью  имени  Героя Советского Союза Н.Кузнецова за  лучшее героико-приключенческое произведение 1981 года, учрежденной СП РСФСР и ПО Уралмашзавод.",2,Аркадий Григорьевич Адамов,На свободное место,15
2,Оглавление       Глава I. Ловушка      Глава II.,3,Аркадий Григорьевич Адамов,На свободное место,15
3,Ищем чуму      Глава III.,4,Аркадий Григорьевич Адамов,На свободное место,15
4,Возникает некий Гвимар Иванович      Глава IV.,5,Аркадий Григорьевич Адамов,На свободное место,15
5,Странные события во дворе одного дома      Глава V. Путь ведет непонятно куда      Глава VI.,6,Аркадий Григорьевич Адамов,На свободное место,15
6,Всякие исчезновения и прочие неудачи      Глава VII.,7,Аркадий Григорьевич Адамов,На свободное место,15
7,Опять не самая приятная командировка      Глава VIII.,8,Аркадий Григорьевич Адамов,На свободное место,15
8,Кое-что становится понятно      Глава IX.,9,Аркадий Григорьевич Адамов,На свободное место,15
9,"Все, что имеет свое начало, имеет и конец                                     Глава I                                  ЛОВУШКА       Сегодня  понедельник.",10,Аркадий Григорьевич Адамов,На свободное место,15
0,"     Книгу можно купить в интернет-магазинах     ""Озон""     и ""Болеро""     Полная версия романа будет доступна в библиотеке lib.ru летом 2005-го  Популярность: 115, Last-modified: Mon, 06 Dec 2004 17:02:03 GMT",1,"Борис Акунин, Григорий Чхартишвили",Кладбищенские истории,16
0,"  Глава первая, в которой описывается некая циничная выходка       В  понедельник 13  мая  1876  года  в  третьем часу пополудни,  в  день по-весеннему свежий и по-летнему теплый, в Александровском саду, на глазах у многочисленных  свидетелей, случилось  безобразное,  ни  в  какие  рамки  не укладывающееся происшествие.",1,Борис Акунин,Азазель,17
1,"По  аллеям,  среди цветущих кустов сирени  и пылающих  алыми тюльпанами клумб прогуливалась  нарядная публика -- дамы  под кружевными (чтоб избежать веснушек)  зонтиками,  бонны  с детьми в матросских костюмчиках,  скучающего вида молодые люди в модных шевиотовых сюртуках либо в коротких на английский манер  пиджаках.",2,Борис Акунин,Азазель,17
2,"Ничто  не предвещало неприятностей, в воздухе,  наполненном ароматами зрелой, уверенной весны, разливались ленивое довольство и отрадная скука.",3,Борис Акунин,Азазель,17
0,"                                       Роман   Глава первая, в которой передовая женщина попадает в безвыходную ситуацию       ""Ревю паризьен"" (Париж),      14(2) июля 1877 г.       ""Наш корреспондент, вот  уже  вторую  неделю  находящийся  при  русской Дунайской армии, сообщает, что вчерашним приказом от  1  июля  (13  июля  по европейскому стилю) император Александр благодарит свои победоносные войска, успешно форсировавшие Дунай и вторгшиеся в пределы Османского государства.",1,Борис Акунин,Турецкий гамбит,18
1,"В Высочайшем приказе сказано, что враг полностью сломлен и не далее как  через две недели над Святой Софией в Константинополе будет установлен православный крест. Наступающая армия почти не встречает сопротивления, если  не  считать комариных укусов, которые наносят по русским  коммуникациям  летучие  отряды так называемых башибузуков (""бешеных голов"") - полуразбойников-полупартизан, известных своим диким нравом и кровожадной свирепостью"".",2,Борис Акунин,Турецкий гамбит,18
0,       Акунин Б.      А44 Смерть Ахиллеса: Роман.,1,Борис Акунин,Смерть Ахиллеса,19
1,"-- М: ЗАХАРОВ -- 2000 г. -- 320 с.      ISBN 5-8159-0056-7      УДК 882      ББК 84Р1-44      © B.Akunin, автор, 1998      © И.Захаров, издатель, 1998              Часть первая.",2,Борис Акунин,Смерть Ахиллеса,19
2,"Фандорин 2      Глава первая, в которой звенья случайностей сплетаются в цепь судьбы 2      Глава вторая, в которой Фандорин приступает к расследованию 8      Глава третья, в которой Фандорин играет в подлянку 12      Глава  четвертая,  в  которой   доказывается  полезность  архитектурных излишеств 16      Глава пятая, в которой Москва предстает в виде джунглей 24      Глава шестая, в которой появляется женщина в черном 31      Глава седьмая, в  которой все  скорбят, а Фандорин попусту теряет время 40      Глава восьмая, в которой происходит катастрофа 51      Глава девятая, в которой Фандорина ждут новые потрясения 54      Глава десятая, в которой генерал-губернатор пьет кофе с булочкой 61      Глава одиннадцатая, в которой дело принимает неожиданный оборот 65      Глава двенадцатая, в которой капкан захлопывается 72      Часть вторая.",3,Борис Акунин,Смерть Ахиллеса,19
0,"         ""Оставьте, пожалуйста, это место таким же  чистым, каким  его нашли..."" Но это же  относится ко  всей Земле, а  не только к уборным!",1,Чингиз Абдуллаев,Сотвори себе мир,2
1,"И не ""такой  же чистой, какой ее нашли"", а какой хотели бы найти!",2,Чингиз Абдуллаев,Сотвори себе мир,2
2,Жильбер Сесброн.,3,Чингиз Абдуллаев,Сотвори себе мир,2
3,"""Счастье по пустякам""    Глава 1       Она лежала на  кровати  лицом вниз,  и  это избавляло от  необходимости смотреть ей  в глаза.",4,Чингиз Абдуллаев,Сотвори себе мир,2
4,Мартин  не любил смотреть  в  глаза покойникам.,5,Чингиз Абдуллаев,Сотвори себе мир,2
5,"В  них часто застывал  какой-то горестный  вопрос, словно жертва  отчаянно пыталась понять, почему именно  с ней судьба  обошлась столь несправедливо.",6,Чингиз Абдуллаев,Сотвори себе мир,2
6,"Иногда в глазах бывал и  ужас, но  это случалось  редко, только  в  том  случае, если убийца изощренно мучил свою жертву.",7,Чингиз Абдуллаев,Сотвори себе мир,2
0,"       Повесть       ""Пиковый валет"" распоясался       На всем белом свете не было человека несчастнее Анисия Тюльпанова.",1,Борис Акунин,Пиковый валет,20
1,"Ну, может, только где-нибудь в черной Африке или там Патагонии, а ближе - навряд ли.",2,Борис Акунин,Пиковый валет,20
2,Судите сами.,3,Борис Акунин,Пиковый валет,20
3,"Во-первых, имечко - Анисий.",4,Борис Акунин,Пиковый валет,20
4,"Видели вы когда-нибудь,  чтобы благородного  человека,  камер-юнкера  или  хотя  бы  столоначальника  звали Анисием?",5,Борис Акунин,Пиковый валет,20
5,"Так сразу и тянет лампадным маслицем, крапивным поповским семенем.",6,Борис Акунин,Пиковый валет,20
6,А фамилия!,7,Борис Акунин,Пиковый валет,20
7,"Смех, да и только.",8,Борис Акунин,Пиковый валет,20
8,"Досталось злосчастное семейное  прозвание от прадеда, деревенского дьячка.",9,Борис Акунин,Пиковый валет,20
9,"Когда  анисиев  родоначальник  обучался  в семинарии, отец благочинный задумал менять  неблагозвучные  фамилии  будущих церковных служителей на  богоугодные.",10,Борис Акунин,Пиковый валет,20
10,"Для  простоты  и  удобства  один  год именовал бурсаков сплошь по церковным праздникам, другой год по  фруктам,  а на прадеда цветочный год пришелся: кто стал Гиацинтов, кто Бальзаминов,  кто Лютиков.",11,Борис Акунин,Пиковый валет,20
0,"       Повесть        Скверное начало      4 апреля, великий вторник, утро       Эраста Петровича Фандорина, чиновника особых поручений  при  московском генерал-губернаторе, особу  6  класса,  кавалера  российских  и  иностранных орденов, выворачивало наизнанку.",1,Борис Акунин,Декоратор,21
1,"Тонкое, бледное до голубизны лицо коллежского  советника  страдальчески кривилось, одна рука, в белой лайковой  с  серебряными  кнопочками  перчатке была  прижата  к  груди,  другая   судорожно   рассекала   воздух   -   этой неубедительной  жестикуляцией  Эраст   Петрович   хотел   успокоить   своего помощника:  ничего,  мол,   ерунда,   сейчас   пройдет.",2,Борис Акунин,Декоратор,21
2,Однако   судя   по продолжительности и мучительности спазмов это была очень даже не ерунда.,3,Борис Акунин,Декоратор,21
3,"Помощнику  Фандорина,   губернскому   секретарю   Анисию   Питиримовичу Тюльпанову, тощему, невзрачному молодому человеку 23  лет,  никогда  еще  не доводилось видеть шефа в столь жалком состоянии.",4,Борис Акунин,Декоратор,21
0,"-                    политический детектив  АНОНС        ""КРУТО  СВАРЕННЫЙ  СЮЖЕТ  ДЕТЕКТИВА,  МИЛЫЙ   ГЕРОЙ,   ОЧАРОВАТЕЛЬНОЕ, УТЕШИТЕЛЬНОЕ ВРЕМЯ ДЕЙСТВИЯ,      ОТЛИЧНАЯ СТИЛИЗАЦИЯ ТЕКСТА И ПРЕКРАСНОЕ ЗНАНИЕ РЕАЛИЙ"".",1,Борис Акунин,Статский советник,22
1,"Коммерсант-Daily       ""ИНТЕЛЛИГЕНТНАЯ ПУБЛИКА ДАВНО УЖЕ ТОСКОВАЛА      О КОМ-ТО ПОДОБНОМ.",2,Борис Акунин,Статский советник,22
2,"ОМЕРЗЕНИЕ, С КОИМ ОНА ОТВЕРГАЕТ      ГРУБЫЕ  ПОЛИЦЕЙСКИЕ  ИСТОРИЙКИ,  ..  ДОЛЖНО  БЫЛО  БЫТЬ   ВОЗНАГРАЖДЕНО ПОЯВЛЕНИЕМ ЛЕГКОГО, НО ИЗЯЩНОГО И ПОБУЖДАЮЩЕГО К РАЗМЫШЛЕНИЯМ ПИСАТЕЛЯ.",3,Борис Акунин,Статский советник,22
3,"ЕСЛИ БЫ БАКУНИНА НЕ БЫЛО,      ЕГО СТОИЛО БЫ ВЫДУМАТЬ!""",4,Борис Акунин,Статский советник,22
4,"Афиша       ""КРЕПКОЕ ЖАНРОВОЕ НАЧАЛО ПРОДУКТИВНО СОЧЕТАЕТСЯ      С АВТОРСКИМ.",5,Борис Акунин,Статский советник,22
5,"ЭТО РАВНО ДАЛЕКО И ОТ СКУЧНЫХ МИЛИЦЕЙСКИХ  РОМАНОВ,  И  ОТ НОВОРУССКОГО УГАРА МОГУЧИЙ ВТОРОЙ ПЛАН.",6,Борис Акунин,Статский советник,22
6,"КРАСИВО, УМНО, СТИЛЬНО"".",7,Борис Акунин,Статский советник,22
7,"Культ личностей       ""ТАКИЕ РАЗНЫЕ РОМАНЫ.",8,Борис Акунин,Статский советник,22
8,НО ОТО ВСЕХ ВКУСНО ПАХНЕТ      ВЕЛИКОЙ РУССКОЙ ЛИТЕРАТУРОЙ.,9,Борис Акунин,Статский советник,22
0,"      (1) Игры, построенные на удаче (фр.)      (2) Вероятность (нем.)      (3) Жаль (нем.)      (4) радости плоти (фр.)      (5) Что  значит ""круть-верть""?",1,Борис Акунин,Любовница Смерти,23
1,(нем.)      (6) Смерть (лат.)      (7) Самая любимая (нем.)      (8) Скоро (нем.)      (9) Приди (нем.)      (10) Я  жду!,2,Борис Акунин,Любовница Смерти,23
2,"(нем.)      (11) Умри (нем.) Популярность: 133, Last-modified: Sat, 03 May 2008 15:08:29 GMT",3,Борис Акунин,Любовница Смерти,23
0,"-      дикенсовский детектив  КАК СЕНЬКА ВПЕРВЫЕ УВИДАЛ СМЕРТЬ       Сначала-то ее, конечно, не так звали, а  обыкновенно,  как  полагается.",1,Борис Акунин,Любовник смерти,24
1,"Маланья там или, может, Агриппина.",2,Борис Акунин,Любовник смерти,24
2,И  фамилия  тоже  имелась.,3,Борис Акунин,Любовник смерти,24
3,Как  же  без фамилии?,4,Борис Акунин,Любовник смерти,24
4,"Это вон у Жучки, что по двору бегает, фамилии  нет,  а  у  человека беспременно должна быть, на то он и человек.",5,Борис Акунин,Любовник смерти,24
5,"Но когда Сенька Скорик ее впервые увидал,  прозванье  у  нее  было  уже нынешнее.",6,Борис Акунин,Любовник смерти,24
6,"Никто по-другому про нее не говорил, имени-фамилии не помнил.",7,Борис Акунин,Любовник смерти,24
7,"А увидал он ее так.      Сидели с пацанами на скамейке,  перед  дерюгинской  бакалейкой.",8,Борис Акунин,Любовник смерти,24
8,"Курили табак, лясы точили.",9,Борис Акунин,Любовник смерти,24
9,"Вдруг подъезжает шарабан: шины дутые, спицы в золотой  цвет  крашенные, верх желтой кожи.",10,Борис Акунин,Любовник смерти,24
0,     * ТОМ I. ЛОВЕЦ СТРЕКОЗ *        РОССИЯ.,1,Борис Акунин,Алмазная колесница,25
1,"1905 ГОД        Анонс       ""Алмазная колесница""  издана двухтомником, причем  оба  тома помещаются под   одной   суперобложкой.",2,Борис Акунин,Алмазная колесница,25
2,"Это  четвертый   (пропущенный)   роман  цикла ""Приключения Эраста Фандорина"".",3,Борис Акунин,Алмазная колесница,25
3,"Действие в первом томе происходит в России в 1905 году, во втором томе - в Японии в 1878 году.",4,Борис Акунин,Алмазная колесница,25
4,"Автор благодарит за помощь К.Н. и Л.Е.  КАМИ-НО-КУ       Слог первый, имеющий некоторое отношение к Востоку       В тот день,  когда ужасный разгром  русского  флота  у  острова  Цусима приближался к концу  и когда об  этом кровавом торжестве японцев проносились по Европе  лишь  первые,  тревожные,  глухие  вести,  -  в  этот самый  день штабс-капитан  Рыбников, живший  в безымянном  переулке  на  Песках, получил следующую телеграмму из  Иркутска:  ""Вышлите  немедленно  листы  следите  за больным уплатите расходы"".",5,Борис Акунин,Алмазная колесница,25
0,  Глава первая      ХОТЬ И НЕ КРАСАВИЦА        Это была нелюбовь с первого взгляда.,1,Борис Акунин,Алтын-Толобас,26
1,"Когда поезд  отъехал  от  последней латвийской  станции  с немелодичным названием  Зелупе  и, прогрохотав по  железному мосту,  стал приближаться  к российской границе,  Николас  придвинулся  к  окну  купе и перестал  слушать косноязычную болтовню попутчика.",2,Борис Акунин,Алтын-Толобас,26
2,"Айвар Калинкинс,  специалист по экспорту  сметаны,  так гордился  своим знанием английского, что переходить с ним на русский было бы просто жестоко, да и, судя по тому,  как латвийский  коммерсант отзывался о  своих  недавних соотечественниках, он вряд  ли  пожелал бы изъясняться  на  языке Пушкина  и Достоевского.",3,Борис Акунин,Алтын-Толобас,26
3,"С самой  Риги  бизнесмен  упражнялся на  кротком  британце  в использовании идиоматических оборотов и паст перфект континьюэс, называя при этом собеседника ""мистер Фэндорайн"".",4,Борис Акунин,Алтын-Толобас,26
0,-   Глава тринадцатая.,1,Борис Акунин,Внеклассное чтение,27
1,"ЖИЗНЬ ВЗАЙМЫ        Не знаешь, где найдешь, где потеряешь.",2,Борис Акунин,Внеклассное чтение,27
2,"Эту немудрящую присказку Николас вспомнил  не  раз  и  не  два,  пока  ехал  неспешным  товарным  поездом  на северо-запад.",3,Борис Акунин,Внеклассное чтение,27
3,"Жизнь отняла у магистра многое, но многому и научила.",4,Борис Акунин,Внеклассное чтение,27
4,"Например, по новому относиться к основным категориям движения - времени и пространству, Привычные представления оказывались ошибочными.",5,Борис Акунин,Внеклассное чтение,27
5,"Когда состав стоял, пространство исчезало и оставалось только время; когда  же  несся  на полной скорости, все было наоборот.",6,Борис Акунин,Внеклассное чтение,27
6,Нашлось чему поучиться и  у  попутчика  Миши.,7,Борис Акунин,Внеклассное чтение,27
7,"Был  он  человек  божий, легкий, из вечной русской породы бродяг, которая за тысячу лет существования России не так уж сильно и изменилась.",8,Борис Акунин,Внеклассное чтение,27
0,    * ЧАСТЬ ПЕРВАЯ.,1,Борис Акунин,Пелагия и белый бульдог,28
1,"БЛЮДИТЕСЯ ПСОВ *    СМЕРТЬ ЗАГУЛЯЯ       ...А  надо  вам  сказать,  что  к  яблочному  Спасу,  как  начнет  небо поворачивать с лета на  осень,  город  наш  имеет  обыкновение  подвергаться истинному нашествию цикад, так что ночью и захочешь спать, да  не  уснешь  - вот какие со всех сторон несутся трели,  и  звезды  опускаются  низко-низко, луна же и подавно виснет чуть не над самыми колокольнями, делаясь похожа  на яблоко  нашей  прославленной  ""сметанной""  породы,  которую  местные   купцы поставляют и к царскому двору, и даже возят на европейские выставки.",2,Борис Акунин,Пелагия и белый бульдог,28
2,"Если  б кому выпало взглянуть на Заволжск из небесных сфер, откуда  изливаются  лучи ночных светил, то перед счастливцем, верно,  предстала  бы  картина  некоего зачарованного  царства:  лениво  искрящаяся  Река,   посверкивающие   крыши, мерцание газовых  фонарей,  и  над  всей  этой  игрой  разнообразных  сияний воспаряет серебряный звон цикадного хора.",3,Борис Акунин,Пелагия и белый бульдог,28
0,"-       Анонс       Роман ""Пелагия и  красный  петух""  завершает  трилогию  о  приключениях непоседливой очкастой  монахини,  преосвященного  Митрофания  и  губернского прокурора  Матвея  Бердичевского  На  сей  раз  запутанная   нить,   которую разматывает сестра Пелагия, заводит ее слишком далеко - туда,  откуда,  быть может, и вовсе нет возврата...   X      ПАУЧЬЕ ЛОГОВО       Ай да Бердичевский       Глядя десятнику Киевского  участка  не  в  глаза,  а  на  мокрые  губы, собранные в гузку для лобызания, Матвей Бенционович брезгливо процедил:      - Поцелуй Иуды.",1,Борис Акунин,Пелагия и красный петух,29
1,"Что, узнал, поджидок?",2,Борис Акунин,Пелагия и красный петух,29
2,"Вот пригодилось и полезное слово, позаимствованное у ""есаула"".",3,Борис Акунин,Пелагия и красный петух,29
3,"Савчук выпучил глаза, а Коля разобрал губы обратно,  и  нижняя  отвисла вместе с челюстью.",4,Борис Акунин,Пелагия и красный петух,29
4,Теперь главное было буря и натиск.,5,Борис Акунин,Пелагия и красный петух,29
0,"        [Эпиграф]      ВСЕМ УЧАСТНИКАМ  ВОЙНЫ В АФГАНИСТАНЕ, обманутым и забытым,  преданным и брошенным, посвящаю эту книгу     * ЧАСТЬ I.",1,Чингиз Абдуллаев,Уйти и не вернуться,3
1,"""Уйти..."" *       [Эпиграф]      ""Чтобы   постичь  окружающий  нас   мир,  нужно   знать   его  во  всех подробностях, а так как этих подробностей почти бесчисленное множество, то и знания наши всегда поверхностны и несовершенны"".",2,Чингиз Абдуллаев,Уйти и не вернуться,3
2,"Ларошфуко    I      Они  шли впятером уже третий  час,  Машков боялся сглазить,  не пытаясь смотреть на часы.",3,Чингиз Абдуллаев,Уйти и не вернуться,3
3,Сначала их было семеро.,4,Чингиз Абдуллаев,Уйти и не вернуться,3
4,Но в  этом лесу двоих они  потеряли.,5,Чингиз Абдуллаев,Уйти и не вернуться,3
5,"Это  был неплохой результат, если  считать, что  до назначенного места  им оставалось .идти около двух часов.",6,Чингиз Абдуллаев,Уйти и не вернуться,3
6,Все пятеро были офицерами.,7,Чингиз Абдуллаев,Уйти и не вернуться,3
7,"И все знали, как трудно будет пройти именно эти  оставшиеся два  часа.",8,Чингиз Абдуллаев,Уйти и не вернуться,3
0,-      Борис Акунин (Чхартишвили  Григорий  Шалвович)  родился  в  1956  году.,1,Борис Акунин,Чайка,30
1,"Эссеист, переводчик, беллетрист.",2,Борис Акунин,Чайка,30
2,"Автор книги ""Писатель и самоубийство""  (М., ""НЛО"", 1999), а также серии детективных романов (""Азазель"" и др.).",3,Борис Акунин,Чайка,30
3,Живет  в Москве.,4,Борис Акунин,Чайка,30
4,"В ""Новом мире"" печатается впервые.",5,Борис Акунин,Чайка,30
5,"Популярность: 121, Last-modified: Mon, 10 Sep 2001 07:27:53 GMT",6,Борис Акунин,Чайка,30
0,"  ВЕРСИЯ                           Трагедия в двух актах    Действующие лица:    Клавдий, король Дании.",1,Борис Акунин,Гамлет,31
1,"Гертруда, королева.",2,Борис Акунин,Гамлет,31
2,"Гамлет, наследный принц.",3,Борис Акунин,Гамлет,31
3,"Полоний, канцлер.",4,Борис Акунин,Гамлет,31
4,"Лаэрт, сын Полония.",5,Борис Акунин,Гамлет,31
5,"Офелия, дочь Полония.",6,Борис Акунин,Гамлет,31
6,"Гораций   Розенкранц   Гильденстерн   Фортинбрас, принц норвежский.",7,Борис Акунин,Гамлет,31
7,Норвежский офицер.,8,Борис Акунин,Гамлет,31
8,Лейтенант швейцарцев.,9,Борис Акунин,Гамлет,31
9,"Озрик, придворный.",10,Борис Акунин,Гамлет,31
10,"Придворные, слуги, мятежники, могильщики.",11,Борис Акунин,Гамлет,31
11,АКТ ПЕРВЫЙ СЦЕНА 1    Парадный зал в королевском замке Эльсинор.,12,Борис Акунин,Гамлет,31
12,"Неподалеку от пустого трона - первые особы королевства: наследный принц Гамлет, канцлер Полоний с сыном и дочерью, еще несколько придворных, все они стоят к зрителям спиной.",13,Борис Акунин,Гамлет,31
13,"Слышен приглушенный гул множества голосов - парадный зал велик, мы видим лишь его малую часть.",14,Борис Акунин,Гамлет,31
0,"-        Посвящается Ю. М.       Действующие лица       Константин Львович Томский,      Управляющий кредитно-ссудным      Товариществом ""Добрый самарянин""       Вован,      Генеральный президент      Инвестиционно-маркетингового холдинга      ""Конкретика""       Зизи,      Жена Томского       Клавка,      Секретарша Вована       Вениамин Анатольевич Солодовников,      Председатель совета пайщиков      ""Доброго самарянина""       Колян,      Первый вице-президент ""Конкретики""       Птеродактор       Пыпа,      Председатель правления банка ""Евросервис""       Буревестник      Хранитель Музея      Господин в парике      Телохранители, мастеровые, грузчики, слуги       Сцена разделена на две части.",1,Борис Акунин,Зеркало Сен-Жермена,32
1,"Две комнаты, очень похожие одна на другую с лепниной и барельефами.",2,Борис Акунин,Зеркало Сен-Жермена,32
2,"Собственно, это одна и та  же  комната  старинного особняка, разделенная одним столетием.",3,Борис Акунин,Зеркало Сен-Жермена,32
3,"Слева - интерьер 1900 года: письменный стол с креслом, секретер.",4,Борис Акунин,Зеркало Сен-Жермена,32
4,В углу напольные часы XVIII века.,5,Борис Акунин,Зеркало Сен-Жермена,32
5,"На стене картина в золотой раме: некий господин с весьма примечательным лицом, в пудреном парике и с орденом Золотого Руна  на шее.",6,Борис Акунин,Зеркало Сен-Жермена,32
0,"-  Глава 1       - Луцкий, немедленно откройте!",1,Борис Акунин,Проблема 2000,33
1,Что  за  ребячество!,2,Борис Акунин,Проблема 2000,33
2,"-  жирным  голосом взывал из коридора Солодовников, председатель ссудно-кредитного товарищества ""Добрый самарянин"".",3,Борис Акунин,Проблема 2000,33
3,- Мы сломаем дверь!,4,Борис Акунин,Проблема 2000,33
4,"Ломайте, ваше степенство, усмехнулся  Константин  Львович,  стоя  перед высоким старинным зеркалом.",5,Борис Акунин,Проблема 2000,33
5,"Дверь дубовая, скоро не поддастся.",6,Борис Акунин,Проблема 2000,33
6,А до полуночи остается всего три минуты.,7,Борис Акунин,Проблема 2000,33
7,"Каких-то три минуты, и век закончится.",8,Борис Акунин,Проблема 2000,33
8,"Вместе  с ним закончится и отставной штабс-ротмистр Луцкий,  погубленный  страстями  и мамоной.",9,Борис Акунин,Проблема 2000,33
9,"Будь  проклят  тот  день  и  час,  когда  он,  любимец  московских репортеров, герой Абиссинской кампании, согласился  стать  управляющим  этой подлой купеческой лавочки.",10,Борис Акунин,Проблема 2000,33
10,"Польстился  на  жалованье,  трехэтажный  особняк, хороший выезд.",11,Борис Акунин,Проблема 2000,33
11,"Лучше бы  остался  в  полку  -  глядишь,  эскадроном  бы  уже командовал...      Увы, девятнадцатый век неумолимо отсчитывал свои последние секунды.",12,Борис Акунин,Проблема 2000,33
0,-       Один олигарх спал и видел сон.,1,Борис Акунин,Дары Лимузины,34
1,"Разумеется, неприятный, потому что жизнь у олигархов тяжелая и хорошие сны им никогда не снятся.",2,Борис Акунин,Дары Лимузины,34
2,"Но этот сон  был  уж совсем из ряда вон, так что и  пересказывать  не  хочется.",3,Борис Акунин,Дары Лимузины,34
3,"Не  хочется,  но придется - иначе непонятно будет, как началась эта история,  которой,  между прочим, было суждено изменить судьбы России.",4,Борис Акунин,Дары Лимузины,34
4,"Олигарху снилось, что он идет по тоненькой жердочке  и  вот-вот  упадет вниз, в яму.",5,Борис Акунин,Дары Лимузины,34
5,"А в яме кишмя кишат жабы, гадюки и крокодилы, причем  последние разевают свои багровые пасти и облизываются длинными липкими языками.",6,Борис Акунин,Дары Лимузины,34
6,"От этих самых противоестественных языков олигарху стало  так  противно, что спать дальше сделалось совершенно невозможно.",7,Борис Акунин,Дары Лимузины,34
0,"-       Глава 1       Хаджи Муратов спустился с гор, чтобы немножко  повоевать.",1,Борис Акунин,Восток и Запад,35
1,"Его  мюридам стало скучно отсиживаться в мрачных ущельях,  а  еще  нужно  было  отомстить неверным за великого Имама, коварно убитого прилетевшей из неба ракетой.",2,Борис Акунин,Восток и Запад,35
2,Ехали на грузовиках по гладкому  шоссе.,3,Борис Акунин,Восток и Запад,35
3,"Время  от  времени  попадались заставы, но, слава Аллаху, русские падки на бакшиш,  а  серебра  у  Муратова было много.",4,Борис Акунин,Восток и Запад,35
4,"Он уже начал думать, что сможет доехать по  широкой  равнине  до самого  главного  города  гяуров,  который,  если  верить  телевизору,  сиял разноцветными огнями и совсем не знал, что такое война.",5,Борис Акунин,Восток и Запад,35
5,"Но  на  рассвете,  у въезда в большой поселок, названия которого наиб не запомнил, удача от  него отвернулась.",6,Борис Акунин,Восток и Запад,35
